用户名,博文,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
是谁这么机灵呢,别人的脚臭味我一直被迫吸入会得病吗，空气清新剂或者香水会有用吗，会不会香臭香臭。这样子如果臭味没有了会不会只是闻不到了细菌还有…​,会不会得病,0,,,,,  ,2,2,"
                        2019年05月31日 09:04
                        ",HUAWEI Mate 9 Pro,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=7,https://weibo.com/7019831509/HwHsDkBrQ?refer_flag=1001030103_
dd_WhaleFall,每天都这么抑郁，都这么丧，也不知道会不会得病…​,会不会得病,1,自己,健康,健康保险,抑郁,  , , ,"
                        2019年05月28日 11:15
                        ",,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=8,https://weibo.com/6232717127/Hwg2wA5Em?refer_flag=1001030103_
发什么都与你无关,好累啊，好想歇一歇，我会不会得病啊..​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年05月27日 00:03
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=8,https://weibo.com/6374726967/Hw2cZ2YpY?refer_flag=1001030103_
周净儿,每天游走在随时崩溃的边缘，又不断的提醒自己要把自己拉回来，像极了一个精神病患者，到底还需要多久才能走出这段黑暗。每次想到他，心里的恨意就抑制不住，找不到发泄的出口，开始害怕这样的自己会不会得病，却也不知道该怎么办。​,会不会得病,1,自己,健康,健康保险,抑郁,  ,1,4,"
                        2019年05月26日 22:25
                        ",三星Galaxy S10,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=8,https://weibo.com/1820817725/Hw1zwj67E?refer_flag=1001030103_
清风挽心mm,因为我很弱，也不会担心背了锅，会有什么太大影响。只是宝宝心里很苦，但是又不说，这样会不会得病，挺担心的，好累​,会不会得病,1,自己,健康,健康保险,担忧,  ,1, ,"
                        2019年05月24日 23:08
                        ",荣耀手机 勇敢做自己,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=8,https://weibo.com/6003238062/HvIZGoPXe?refer_flag=1001030103_
拢龙_伢,#朱一龙哭戏##朱一龙井然#『朱一龙未来可期』『朱一龙井然』我们朱一龙的哭戏，真的太有共情能力了知道妈妈得病了，然后赶回家，听到妈妈努力记住有关自己的事情井然与妈妈这种状态会不会是很多人与父母的真实写照@朱一龙@朱一龙@朱一龙​,会不会得病,0,,,,,1,103,13,"
                        2019年05月24日 20:36
                        ",朱一龙超话,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=8,https://weibo.com/6437049462/HvI0ehKrE?refer_flag=1001030103_
哎呦-i-you,心情大起大落会不会得病！！生气​,会不会得病,1,自己,健康,健康保险,担忧,  ,8, ,"
                        2019年05月24日 09:27
                        ",荣耀V10 我AI的快,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=8,https://weibo.com/1768730631/HvDCvb3qi?refer_flag=1001030103_
sophia小六,天天夜宵吃泡面会不会得病？​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年05月21日 23:34
                        ",OPPO超视野全面屏R15,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=8,https://weibo.com/2807834222/HvgSRd2as?refer_flag=1001030103_
喜晶晶,老一辈的生育观点，着眼于“能不能养活”，就是小孩有没有吃穿，会不会饿着、或者得病养不大。在这个着眼点上来看这个世界，那简直太容易，现在大家就该使劲生，不就是几口口粮吗，生多少都能养。而年轻的一代，着眼于“能不能养好”，孩子吃好的、穿好的、能不能接受好的教育，还有更高层次的，能不能有快乐的童年。在这个着眼点上，掐指一算，除了金钱的投入，生活水平火箭般直降，还得自己投入大量的精力、时间。一算这养育能力就捉襟见肘了，生了能不能养好真是未知数。这是目前很多家庭，两代人之间的生育观念落差。很多人还会引发争吵，但双方其实根本没在一个频道上对话，吵也吵不出什么有效的结论。收起全文d,会不会得病,0,,,,,9,6,44,"
                        2019年05月18日 21:36
                        ",iPhone 8,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=8,https://weibo.com/2215853891/HuNPACOaF?refer_flag=1001030103_
不可塑垃圾,我这样每天冒菜麻辣烫的吃会不会得病在家的时候不好好吃妈妈做的饭上班想吃也没法吃了只能订外卖吃的还没妈妈学校多只能麻辣烫冒菜可咋整​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年05月18日 16:20
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=8,https://weibo.com/7013573757/HuLLgbMNe?refer_flag=1001030103_
用户6487892148,我早上都不吃饭的会不会得病啊！​,会不会得病,1,自己,健康,健康保险,作息不规律,  ,5, ,"
                        2019年05月16日 09:17
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=9,https://weibo.com/6487892148/Huq8Br1A2?refer_flag=1001030103_
郭子2019,一个人独居久了会不会得病2泸州​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年05月14日 16:44
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=9,https://weibo.com/2674186633/HuacZiuuC?refer_flag=1001030103_
努力努力加油加油-,"连想说的话都没有人可以说,一直憋在心里会不会得病​",会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年05月13日 21:29
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=9,https://weibo.com/7136154043/Hu2E3dSzB?refer_flag=1001030103_
冯秀钰,刚才给班突然嗓子可难受咳嗽喝了一口三天前的水然后我就一直百度喝了三天前的水会怎么样..我现在感觉我要死了我会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年05月09日 16:22
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=9,https://weibo.com/3191749672/HtoVxfZRi?refer_flag=1001030103_
小茄子_小柔子,最近总是控制不了自己的情绪，不知道为什么，明明很开心却突然烦躁，这样下去会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  , ,1,"
                        2019年05月08日 08:16
                        ",前置双摄vivo X9Plus,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=9,https://weibo.com/3485264791/HtcjFb6JK?refer_flag=1001030103_
大妈大爷的美好生活,年龄数字一年一年的增长，生活也过的还行，虽然上班累，但是有我爱的人和有爱我的人在身边，我是觉得我很幸福，我还想好好生活，我就特别害怕得病，也害怕爸妈生病。自己身体有点点不舒服就爱想我会不会是这个病，爸妈身体有点点不舒服我也担心着。希望我们都身体健康。我也不要胡思乱想了。注意安全注意饮食注意休息，多锻炼身体，增强体质吧收起全文d,会不会得病,1,自己,健康,健康保险,担忧,  , ,3,"
                        2019年05月07日 20:18
                        ",HUAWEI P20,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=9,https://weibo.com/1726817240/Ht7CskVrI?refer_flag=1001030103_
花了的小窝_133,唉悲催了过完节就要开始送养了今天却发现这两只猫瘟了，不知道其它五只会不会被传染了揪心啊医生说过了六天其它没有得病就是安全的从来没有出现过这样的病希望有经验的人多多指教�@上海领养之家@大白毛的守护神@上海流浪猫救助小站@养猫的张大傻​,会不会得病,1,宠物,健康,宠物保险,担忧,1,3,1,"
                        2019年05月03日 17:13
                        ",红米Redmi,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=9,https://weibo.com/1439361417/HsuHcbeLi?refer_flag=1001030103_
可不可以给我lucky啊,#如果可以这样爱#我觉得会不会祁大哥得病，死了，把心脏捐给墨池，呵呵呵呵呵，如果真的是这样，这部剧真的是垃圾……白考儿和耿墨池也是令人不爽，呵呵呵呵看了后面这几集，真的无法理解白考儿，真的是成为所以女生最讨厌的人，一个无法离开男人的女人，一个离开男的就要死了的女人，一直用男二的钱过好生活，一直什么不愿意，还是用了男二的钱好好生活了两年，呵呵呵总得来说，编剧就是太狗血，呵呵呵呵收起全文d,会不会得病,0,,,,,  ,4,3,"
                        2019年05月01日 19:52
                        ",HUAWEI nova 3,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=10,https://weibo.com/5716072863/HscT273WX?refer_flag=1001030103_
千载白云牛阿牛,以前在街上看到帅哥，会想他会不会和我展开一段动人心弦的爱情故事呢？现在得病了，在街上看到帅哥，也会想他会不会也刚好病了，和我展开一段动人心弦的爱情故事呢？——不变的是爱做梦的我，毕竟有无得病也都是我​,会不会得病,0,,,,,  , , ,"
                        2019年04月30日 00:00
                        ",华为手机 畅享玩不停,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=10,https://weibo.com/6456023615/HrVEy1ER4?refer_flag=1001030103_
_ZINING,最近这事很火，我在想，以前一得病很多人想的都是去美国治病，以后会不会一得病大家想的都是来中国治病呢……心中诞生了一个行业……L_ZINING的秒拍视频​,会不会得病,0,,,,,  , , ,"
                        2019年04月28日 19:20
                        ",,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=10,https://weibo.com/2164950081/HrKogAIgI?refer_flag=1001030103_
Sqsosjsmnwn这里,一个人，总是不开心，会不会得病啊？​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年04月26日 20:59
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=10,https://weibo.com/3922798369/HrsbohUdb?refer_flag=1001030103_
古怪的螺旋桨,从上海回来后就没在十二点前睡过觉了，熬夜的习惯太容易养成了，虽然最开始是因为写论文，可是现在就算没有熬夜写也要熬夜玩手机到两点再睡觉，我会不会近视啊，会不会得病啊，天哪天哪，不能再熬夜了，明晚十二点前一定放下手机睡觉，今晚发完这条微博就睡！​,会不会得病,1,自己,健康,健康保险,作息不规律,  ,1, ,"
                        2019年04月26日 01:44
                        ",小米9 SE,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=10,https://weibo.com/7028257267/HrkCM6GHM?refer_flag=1001030103_
Mini小情绪,谢天谢地不是白血病，感觉松了一口气！这几天在新家打扫卫生，不知道是不是心理作用，感觉吸太多甲醛了！会不会得病！我都有点神经质了，空几个月再去住吧，新家再好，还是健康重要！2荆门·石化​,会不会得病,1,自己,健康,健康保险,担忧,  , ,1,"
                        2019年04月20日 19:29
                        ",荣耀9i 千元潮美旗舰,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=10,https://weibo.com/3502923675/Hqx1Z5U5g?refer_flag=1001030103_
潍坊京都白癜风医院官微,【白癜风能不能治好呢？】白癜风这个病其实比较复杂，能不能彻底治好是因人而异的。患者得病时间的长短、白斑的面积、部位等，都是影响治愈的重要因素。白癜风短期内会不会快速的扩散也不好预测。有些患者得了白癜风，身上只有一两个白斑，可能一直就这样不再扩大，甚至终生不再发展了。#白癜风治疗#​,会不会得病,0,,,,,  , , ,"
                        2019年04月18日 09:18
                        ",专业版微博,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=10,https://weibo.com/6832717311/Hqab6eg4G?refer_flag=1001030103_
No4Pluto,最近感觉情绪很不稳定，害怕自己得什么精神疾病特地去了解了一下抑郁症的症状，我放心了，不会是抑郁症。鉴于我时常亢奋，时而烦躁，时而意难平默默难过，我有可能是躁郁症。但我觉得只是倾向而已，毕竟没那么容易得病的啦，后来我又想到我的奶奶年轻的时候就神经病发作过，我又想这会不会是遗传？我要去看心理医生吗？感觉一个小时很贵的样子，要是没啥事我会很心疼的，多买几张专辑不好吗收起全文d,会不会得病,1,自己,健康,健康保险,担忧,  ,8,4,"
                        2019年04月17日 16:50
                        ",iPhone,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=10,https://weibo.com/5063717439/Hq3I6relq?refer_flag=1001030103_
考过就充会员改名字,越是忙得要死的时候就越是想学习，一想到没空学习简直心如刀割泪如雨下，其实以前闲着的时候明明也只是刷手机看小说而已。大概得不到的就骚动，到手了就不爱，好像渣男哦。算了算进度，别说刷真题了，今年考试之前大概率连教材都没法过完一遍。慢已经很惨，更惨是看完就忘，有时候脑袋空空，仿佛从来没学过，哎，脑花大概都变豆腐渣了。少壮不努力，老大徒伤悲，是债，早晚是要还的。踏马的时间不够用啊，儿子没空陪，老公没空理，猫咪没空撸，教材看不完，小说看不完，单词背不住，觉也睡不够，唯一的好处是终于也没空疑神疑鬼会不会得病这件事了，没空怕死。收起全文d,会不会得病,0,,,,,  ,1,2,"
                        2019年04月16日 00:20
                        ",小米6 拍人更美,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=11,https://weibo.com/1796540890/HpNNxgNE7?refer_flag=1001030103_
芝麻从来就很小,不开心久了会不会得病呢？2南昌​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年04月14日 23:36
                        ",华为手机 畅享玩不停,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=11,https://weibo.com/6427492414/HpE5oeBKQ?refer_flag=1001030103_
无憾_0903,截止到现在我一点饭没吃两个麻团一个鸡蛋刚才上称103.6明天估计就102了吧……这么长时间不吃饭我竟然不饿老了以后胃会不会得病​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年04月13日 22:13
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=11,https://weibo.com/6297826704/Hpu7jlVSK?refer_flag=1001030103_
七月与泡泡糖,刚忽然在想人类的灭绝会不会是阿尔兹海默症？2050年会有超过1亿人得病，病情的晚期就是人脑的不断石化到最后完全石化（大意），而且这个病和遗传基因也有关系，越来越多人会得，但是目前还没有找到解决办法，一个无解的不可逆的病症……联想很多吧我�​,会不会得病,0,,,,,  , , ,"
                        2019年04月12日 17:35
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=11,https://weibo.com/1946111085/HpiRTExFQ?refer_flag=1001030103_
年纪大了不会玩,完了我又发神经病了刚才按摩的给我按头出血了会不会得病啊​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年04月12日 17:06
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=11,https://weibo.com/6014187304/HpiFTEsdY?refer_flag=1001030103_
你确定你找到了正确的蜘蛛侦探,话说高考那段时间有个什么病很流行，体检前就很害怕，还专门打电话回去问我会不会得病啊，结果我妈：你小时候能打的疫苗我都给你打了​,会不会得病,0,,,,,  , , ,"
                        2019年04月11日 08:41
                        ",微博国际版,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=11,https://weibo.com/6636762979/Hp5WDyTqw?refer_flag=1001030103_
你的旧情回来了,不断的累积不良情绪得不到缓解会不会得病？​,会不会得病,1,自己,健康,健康保险,担忧,  ,3,4,"
                        2019年04月07日 23:03
                        ",iPhone 8 Plus,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=11,https://weibo.com/1780350630/HozSp9WfR?refer_flag=1001030103_
用户南宁友爱精神科,发表了博文《南宁友爱精神科强迫症》强迫症强迫思维又可以分为强迫观念、强迫情绪及强迫意向。内容多种多样，如反复怀疑门窗是否关紧，碰到脏的东西会不会得病，太阳为什么从东边升起西边落下，站在阳台上就有往下跳O南宁友爱精神科强迫症​,会不会得病,0,,,,,  , , ,"
                        2019年03月30日 16:34
                        ",新浪博客,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=11,https://weibo.com/6883984033/HnjUKgU9w?refer_flag=1001030103_
靖文使劲吃土,………感觉之前很多杀妻或者女朋友的人会不会是得病了……​,会不会得病,0,,,,,  , , ,"
                        2019年03月29日 08:58
                        ",荣耀V10 我AI的快,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=11,https://weibo.com/5982666967/Hn7uZ467S?refer_flag=1001030103_
_是时间在作怪,上班容易有情绪有情绪要忍着我会不会得病2仙桃·沙嘴​,会不会得病,1,自己,健康,健康保险,工作,  ,9, ,"
                        2019年03月28日 11:31
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=12,https://weibo.com/2369671554/HmZ4Iaosc?refer_flag=1001030103_
林清和Linya,长期把翻腾的不爽体面的封锁在微笑之后，会不会得病。​,会不会得病,1,自己,健康,健康保险,担忧,  , ,1,"
                        2019年03月27日 14:48
                        ",HUAWEI Mate 10 Pro,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=12,https://weibo.com/1776217061/HmQWg6ai1?refer_flag=1001030103_
方方Ella,中午边吃饭边看《人间世2》的第七集，边吃边哭地把饭吃完了。原来阿尔兹海默症在得病半年到一年是可以治疗好转的，不知道自己以后老了会不会得阿尔兹海默症……人老了，真的身不由己。​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年03月27日 12:58
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=12,https://weibo.com/2701138894/HmQdvaQUh?refer_flag=1001030103_
网易辽宁有态度,#你会原谅苏大强吗#大强刚开始那么能“作”，会不会是阿尔兹海默症的得病前兆​,会不会得病,0,,,,,  , ,2,"
                        2019年03月26日 16:03
                        ",微博搜索,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=12,https://weibo.com/6261526742/HmI0cg4cv?refer_flag=1001030103_
外星人的空白格,天天吃垃圾食品，我会不会得病？#辣条#​,会不会得病,1,自己,健康,健康保险,担忧,  ,4, ,"
                        2019年03月25日 20:35
                        ",iPhone 6,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&scope=ori&suball=1&timescope=custom:2019-01-01-0:2019-08-12-7&Refer=g&page=12,https://weibo.com/5951498900/HmAlLvs3W?refer_flag=1001030103_
